Distance from Tangos Halo	x	y	z	vx	vy	vz	Mean [Fe/H]	Mean Tform	Total Stellar Mass	Half-light radius	Simulation	Output Number	Tangos Halo ID	Internal ID	Count ID	Mask Out
kpc	kpc	kpc	kpc	km s**-1	km s**-1	km s**-1	dec	Myr	log10(msol)	pc	N/A	N/A	N/A	N/A	N/A	N/A
1.335987087	-0.937044409	-0.650136502	0.695795805	8.460503847	-13.74035134	2.545693212	-1.405963764	1951.064325	3.473930165	24.87054686	Halo383_Massive	41	0	158	158	0
1.388648779	-0.885034099	-0.69282725	0.815506271	9.180297818	-14.46760934	5.26455016	-1.411756441	1951.329798	4.014711919	1.859371915	Halo383_Massive	41	0	159	159	0
1.314278009	-0.786867034	-0.704762817	0.781969519	11.8418549	-14.58641743	2.965873899	-1.410494867	1953.413384	3.783877616	14.86528164	Halo383_Massive	41	0	160	160	0
1.383538209	-0.799542179	-0.733903864	0.858076569	11.52345235	-15.42184519	4.827166292	-1.415863108	1953.363891	3.792969455	7.732708682	Halo383_Massive	41	0	161	161	0
1.723949825	-1.28186077	-1.01817868	0.540507299	-15.82738792	-18.78577176	14.13299298	-1.375421131	1975.565079	3.897526623	15.34249369	Halo383_Massive	41	0	163	163	0
0.293610581	-0.005450907	-0.204423019	-0.210686236	4.033402251	-17.69655365	0.754147413	-1.313579886	1924.347375	3.763907909	2.9178555	Halo383_Massive	40	0	164	164	0
0.48898324	-0.322475046	-0.291880169	-0.223428783	4.096499293	-19.96427649	-1.155884801	-1.342457233	1903.398057	3.68007967	25.49217489	Halo383_Massive	40	0	165	165	0
0.736485619	-0.350739471	-0.630911336	0.146095094	-36.79443529	-18.58528051	15.37169974	-1.439062925	1930.047684	3.958248402	1.998666479	Halo383_Massive	41	0	167	167	0
0.396072738	-0.089938228	-0.341224236	-0.179863143	12.72819058	-20.12520407	4.560266432	-1.393768143	1897.135953	3.966410963	2.735937095	Halo383_Massive	40	0	168	168	0
2.735696638	0.993662375	2.548373736	0.049623407	10.06320684	19.70123864	-18.17621447	-1.416338521	1768.032053	3.733504264	6.844990852	Halo383_Massive	36	0	171	171	0
2.939815505	2.049986399	2.047380556	-0.498300943	1.397778524	-16.77839308	-19.65381072	-1.688987965	1916.97825	4.021449768	5.830922997	Halo383_Massive	40	0	176	176	0
2.224076997	0.821652643	2.043072657	0.311864615	3.362606991	20.45849198	-7.387288102	-1.5114447	1643.421795	3.730635607	7.064196187	Halo383_Massive	35	0	177	177	0
2.369389308	0.791360595	2.191469984	0.430364278	0.721741066	26.86716799	2.012669131	-1.392201806	1697.280327	3.94456726	4.079939462	Halo383_Massive	35	0	178	178	0
0.891247199	0.677679343	-0.344033655	-0.465524565	-29.50577841	-25.06230323	10.39340808	-1.577142779	1945.42828	3.755417309	30.97192916	Halo383_Massive	41	0	179	179	0
0.90751255	-0.894982356	-0.13185622	0.072107894	4.044741441	4.06820093	5.333748292	-1.255097289	1988.057204	3.635487893	17.33999274	Halo383_Massive	42	0	181	181	0
1.436107706	-0.914012137	-0.783445691	0.783070882	-1.798394171	-12.98106614	10.31182329	-1.44935953	1950.665873	3.732635751	12.1217751	Halo383_Massive	41	0	182	182	0
1.618488624	1.055151166	1.022649364	-0.678490766	-18.17331292	-19.14715712	-0.167995616	-1.541842445	1900.302159	3.711090175	35.78554485	Halo383_Massive	40	0	183	183	0
2.52853507	1.635745303	1.883396611	-0.413090923	-7.112886793	-22.47641529	-6.119380751	-1.58804005	1886.084092	3.976062121	3.149504214	Halo383_Massive	39	0	184	184	0
1.768657227	1.206749279	1.138165066	-0.613583609	-17.53857156	-33.04876813	0.238792483	-1.544348493	1916.717038	3.765443385	18.07981874	Halo383_Massive	40	0	185	185	0
1.717425224	1.299004511	0.974812159	-0.558460327	-20.28963122	-22.40332333	8.649586151	-1.5402386	1920.810154	4.178191343	4.114369084	Halo383_Massive	40	0	186	186	0
